pre	post	type	synapses
ADAL	AIAL	chemical	2
ADAL	AIBL	chemical	2
ADAL	AIBR	chemical	1
ADAL	AVAL	chemical	1
ADAL	AVBL	chemical	7
ADAL	AVBR	chemical	7
ADAL	AVDR	electrical	4
ADAL	AVER	chemical	3
ADAL	AVJR	chemical	2
ADAL	DVA	chemical	2
ADAL	PVQL	electrical	2
ADAL	RICR	chemical	2
ADAL	RIML	chemical	7
ADAL	RIPL	chemical	5
ADAL	URXL	chemical	1
ADAR	ADER	chemical	1
ADAR	AIBL	chemical	2
ADAR	AIBR	chemical	1
ADAR	ASHR	electrical	1
ADAR	AVAL	chemical	1
ADAR	AVAR	chemical	1
ADAR	AVBL	chemical	2
ADAR	AVBR	chemical	12
ADAR	AVDL	chemical	1
ADAR	AVER	chemical	1
ADAR	AVJL	chemical	8
ADAR	DVA	chemical	1
ADAR	RICL	chemical	1
ADAR	RICR	electrical	1
ADAR	RIFR	chemical	1
ADAR	RIMR	chemical	6
ADAR	RIPR	chemical	3
ADAR	RMFR	chemical	1
ADAR	SAADR	chemical	1
ADAR	SMDVL	chemical	1
ADAR	URXR	chemical	1
ADEL	ADAL	chemical	1
ADEL	ADEL	chemical	1
ADEL	ADER	chemical	6
ADEL	ALML	chemical	1
ADEL	ALNL	chemical	2
ADEL	AQR	chemical	2
ADEL	ASJL	chemical	1
ADEL	AVAR	chemical	2
ADEL	AVFR	electrical	1
ADEL	AVKL	chemical	2
ADEL	AVKR	chemical	1
ADEL	AVKR	electrical	1
ADEL	BDUL	chemical	1
ADEL	CEPDL	chemical	2
ADEL	CEPshDL	chemical	2
ADEL	IL1L	chemical	5
ADEL	IL2L	chemical	1
ADEL	OLLL	chemical	4
ADEL	RIGL	chemical	6
ADEL	RIGR	chemical	9
ADEL	RIH	chemical	1
ADEL	RIVR	chemical	1
ADEL	RMDL	chemical	4
ADEL	RMDR	chemical	1
ADEL	RMER	chemical	1
ADEL	RMFR	chemical	1
ADEL	SAADR	chemical	1
ADEL	SAAVL	chemical	1
ADEL	SIBVR	chemical	2
ADEL	SMBDR	chemical	2
ADER	ADAR	chemical	1
ADER	ADEL	chemical	2
ADER	ADEL	electrical	1
ADER	AQR	chemical	1
ADER	AVAL	chemical	7
ADER	AVAR	chemical	3
ADER	AVBR	chemical	1
ADER	AVER	chemical	1
ADER	AVKL	chemical	2
ADER	BWM-DR04	chemical	2
ADER	CEPDR	chemical	1
ADER	CEPshDR	chemical	2
ADER	CEPVR	chemical	2
ADER	DVA	chemical	1
ADER	DVC	chemical	2
ADER	FLPL	chemical	1
ADER	IL1R	chemical	3
ADER	IL2R	chemical	2
ADER	OLLR	chemical	2
ADER	PVNR	chemical	1
ADER	PVPL	chemical	1
ADER	RIGL	chemical	10
ADER	RIGR	chemical	9
ADER	RIH	chemical	2
ADER	RIVL	chemical	3
ADER	RIVR	chemical	2
ADER	RMDL	chemical	1
ADER	RMDR	chemical	2
ADER	RMFL	chemical	4
ADER	RMFR	chemical	2
ADER	RMGR	chemical	1
ADER	RMHL	chemical	2
ADER	SAADL	chemical	1
ADER	SMBVR	chemical	1
ADER	URBR	chemical	1
ADFL	ADAL	chemical	1
ADFL	ADFR	electrical	1
ADFL	AIBL	chemical	1
ADFL	AIZL	chemical	6
ADFL	AIZR	chemical	2
ADFL	ASER	chemical	2
ADFL	AUAL	chemical	4
ADFL	AVHR	chemical	1
ADFL	AWBL	chemical	2
ADFL	OLQVL	chemical	1
ADFL	PVQL	chemical	1
ADFL	RIAL	chemical	15
ADFL	RICR	chemical	1
ADFL	RIGL	chemical	4
ADFL	RIGR	chemical	1
ADFL	RIH	electrical	2
ADFL	RIR	chemical	3
ADFL	SIBVL	chemical	1
ADFL	SMBDL	chemical	1
ADFL	SMBVL	chemical	5
ADFL	URXL	chemical	1
ADFL	URYVL	chemical	1
ADFR	ADAR	electrical	1
ADFR	AIAR	electrical	2
ADFR	AIZL	chemical	2
ADFR	AIZR	chemical	9
ADFR	ASGR	chemical	1
ADFR	AUAR	chemical	9
ADFR	AVHL	chemical	1
ADFR	RIAR	chemical	20
ADFR	RIGR	chemical	4
ADFR	RIR	chemical	3
ADFR	SMBVR	chemical	7
ADFR	URXL	chemical	1
ADFR	URXR	chemical	2
ADLL	AIAL	chemical	5
ADLL	AIBL	chemical	13
ADLL	AIYL	electrical	1
ADLL	ASEL	chemical	5
ADLL	ASHL	chemical	6
ADLL	ASKL	chemical	2
ADLL	AVAL	chemical	2
ADLL	AVDL	chemical	2
ADLL	AVDR	chemical	10
ADLL	AVEL	chemical	1
ADLL	AVJL	chemical	1
ADLL	AVJR	chemical	5
ADLL	AWBL	chemical	1
ADLL	AWCL	chemical	4
ADLL	HSNL	chemical	1
ADLL	HSNR	chemical	1
ADLL	PVNL	chemical	1
ADLL	PVQL	chemical	2
ADLL	SIBDR	chemical	1
ADLL	SMBVL	chemical	1
ADLR	ADLL	electrical	1
ADLR	AIAR	chemical	9
ADLR	AIBR	chemical	11
ADLR	ASER	chemical	5
ADLR	ASHR	chemical	5
ADLR	AVAR	chemical	8
ADLR	AVBR	chemical	2
ADLR	AVDR	chemical	2
ADLR	AVER	chemical	1
ADLR	AVJL	chemical	1
ADLR	AVJR	chemical	1
ADLR	AWCR	chemical	4
ADLR	CEPshVR	chemical	1
ADLR	PVPR	chemical	1
ADLR	SIBDL	chemical	1
ADLR	SMBVR	chemical	5
AFDL	AFDR	electrical	1
AFDL	AIYL	chemical	12
AFDL	AIYR	chemical	1
AFDL	AIZL	electrical	3
AFDL	ASER	chemical	1
AFDR	AIYR	chemical	14
AFDR	ASEL	chemical	1
AIAL	ADAL	chemical	2
AIAL	ADLL	chemical	1
AIAL	AIBL	chemical	14
AIAL	AINL	electrical	1
AIAL	ASEL	chemical	1
AIAL	ASER	chemical	1
AIAL	ASGL	chemical	1
AIAL	ASIL	chemical	2
AIAL	ASIL	electrical	3
AIAL	ASJL	electrical	2
AIAL	ASKL	chemical	2
AIAL	AWAL	chemical	1
AIAL	AWAL	electrical	3
AIAL	AWBL	electrical	2
AIAL	AWCL	chemical	7
AIAR	ADAR	chemical	2
AIAR	ADLR	chemical	1
AIAR	AIAL	electrical	1
AIAR	AIBR	chemical	11
AIAR	ASGR	chemical	1
AIAR	ASHR	chemical	1
AIAR	ASIR	electrical	2
AIAR	ASJR	electrical	1
AIAR	ASKR	chemical	3
AIAR	AWAR	electrical	2
AIAR	AWBR	electrical	1
AIAR	AWCL	chemical	6
AIAR	HSNL	chemical	2
AIAR	HSNL	electrical	1
AIAR	RIFL	chemical	2
AIAR	RIFR	chemical	1
AIAR	URXR	electrical	1
AIBL	ADAR	chemical	1
AIBL	AUAR	chemical	1
AIBL	AVAL	chemical	6
AIBL	AVAR	chemical	1
AIBL	AVBL	chemical	9
AIBL	AVEL	chemical	1
AIBL	RIBL	chemical	1
AIBL	RIBR	chemical	6
